Stock#,Lane,Item#,Year,Make,Model,VIN,Odometer,Sale Document,Loss Type,Auction Date,Branch,Public,Live online bid
25045153,B,30,1997,ACURA,2.5TL,JH4UA2654VC005381,201k mi (Not Required/Exempt),CLEAR - DEALER ONLY-CA,OTHER,"Mon Jun 03, 11am CDT",Fremont,NO,NO
25150710,A,3052,2003,ACURA,3.2CL,19UYA41653A015099,208k mi (Not Required/Exempt),SALVAGE CERTIFICATE-CA,COLLISION,"Mon Jun 03, 11am CDT",Fremont,NO,NO
25083174,A,123,2001,ACURA,3.2CL,19UYA42701A030243,154k mi (Not Required/Exempt),PERMIT TO SELL-LA,OTHER,"Mon Jun 03, 9am CDT",New Orleans East,NO,NO
24968306,A,3153,2006,ACURA,3.2TL,19UUA66286A013593,184k mi ,SALVAGE-NJ,COLLISION,"Mon Jun 03, 8am CDT",Northern New Jersey,NO,NO
24890635,A,3320,2006,ACURA,3.2TL,19UUA662X6A048314,0k mi (Not Required/Exempt),SALVAGE CERTIFICATE-CA,OTHER,"Mon Jun 03, 11am CDT",Fremont,NO,NO
25001720,A,73,2003,ACURA,3.2TL,19UUA56873A045851,131k mi (Not Required/Exempt),SALVAGE TITLE-TX,COLLISION,"Mon Jun 03, 9am CDT",San Antonio-South,NO,NO
25031477,A,140,2003,ACURA,3.2TL,19UUA56783A045672,192k mi ,SALVAGE-PA,COLLISION,"Mon Jun 03, 8am CDT",Northern New Jersey,NO,NO
25081962,B,3312,2002,ACURA,3.2TL,19UUA56662A040427,0k mi (Not Required/Exempt),ORIGINAL-TX,OTHER,"Mon Jun 03, 9am CDT",San Antonio-South,NO,NO
25151957,A,183,2001,ACURA,3.2TL,19UUA56691A014631,173k mi (Not Required/Exempt),SALVAGE CERTIFICATE-CA,COLLISION,"Mon Jun 03, 11am CDT",San Diego,NO,NO
25197608,A,120,2001,ACURA,3.2TL,19UUA56731A032924,299k mi ,CLEAR-NJ,OTHER,"Mon Jun 03, 8am CDT",Northern New Jersey,NO,NO
24926939,B,148,2015,ACURA,ILX,19VDE2E50FE000219,70k mi ,SALVAGE CERTIFICATE-CA,COLLISION,"Mon Jun 03, 11am CDT",Fremont,NO,NO
24874372,A,645,2013,ACURA,ILX,19VDE3F79DE300134,222k mi (Not Required/Exempt),CLEAR - DEALER ONLY-CA,OTHER,"Mon Jun 03, 11am CDT",San Diego,NO,NO
25228653,A,94,2000,ACURA,INTEGRA,JH4DB7668YS002545,121k mi (Not Required/Exempt),CLEAR-LA,OTHER,"Mon Jun 03, 9am CDT",New Orleans East,NO,NO
25079161,A,617,1999,ACURA,INTEGRA,JH4DB7651XS004918,267k mi (Not Required/Exempt),SALVAGE CERTIFICATE-CA,THEFT,"Mon Jun 03, 11am CDT",Fremont,NO,NO
25072774,B,116,1995,ACURA,INTEGRA,JH4DC4357SS029850,196k mi (Not Required/Exempt),CLEAR - DEALER ONLY-CA,OTHER,"Mon Jun 03, 11am CDT",Fremont,NO,NO
24910195,A,3113,1992,ACURA,INTEGRA,JH4DA9358NS038502,182k mi (Not Required/Exempt),SALVAGE CERTIFICATE-CA,COLLISION,"Mon Jun 03, 11am CDT",Fremont,NO,NO
24955873,A,662,2016,ACURA,MDX,5FRYD4H41GB007474,43k mi ,SALVAGE CERTIFICATE-CA,COLLISION,"Mon Jun 03, 11am CDT",San Diego,NO,NO
25131000,A,18,2009,ACURA,MDX,2HNYD28699H506554,72k mi (Not Required/Exempt),CLEAR - DEALER ONLY-CA,THEFT,"Mon Jun 03, 11am CDT",San Diego,NO,NO
24990621,A,111,2006,ACURA,MDX,2HNYD18666H502791,256k mi (Not Required/Exempt),SALVAGE-LA,COLLISION,"Mon Jun 03, 9am CDT",New Orleans East,NO,NO
25161923,A,315,2006,ACURA,MDX,2HNYD18936H524712,200k mi (Not Required/Exempt),SALVAGE TITLE - DEALER-CA,OTHER,"Mon Jun 03, 11am CDT",Fremont,NO,NO
23526791,A,3165,2005,ACURA,MDX,2HNYD18815H533463,161k mi ,SALVAGE-NJ,COLLISION,"Mon Jun 03, 8am CDT",Northern New Jersey,NO,NO
24906236,A,3017,2005,ACURA,MDX,2HNYD18905H517103,162k mi (Not Required/Exempt),SALVAGE-LA,COLLISION,"Mon Jun 03, 9am CDT",Shreveport,NO,NO
25219209,A,3180,2005,ACURA,MDX,2HNYD18925H521329,199k mi ,CLEAR-NJ,OTHER,"Mon Jun 03, 8am CDT",Northern New Jersey,NO,NO
25229424,B,144,2004,ACURA,MDX,2HNYD18784H518142,211k mi (Not Required/Exempt),CLEAR - DEALER ONLY-CA,OTHER,"Mon Jun 03, 11am CDT",Fremont,NO,NO
25126432,A,3054,2004,ACURA,MDX,2HNYD18634H543361,201k mi (Not Required/Exempt),CLEAR-IL,OTHER,"Mon Jun 03, 9am CDT",Chicago-West,NO,NO
25118525,B,196,2003,ACURA,MDX,2HNYD18663H546818,262k mi (Not Required/Exempt),SALVAGE CERTIFICATE-CA,COLLISION,"Mon Jun 03, 11am CDT",Fremont,NO,NO
25111634,A,3268,2003,ACURA,MDX,2HNYD18683H544391,172k mi ,CLEAR-NJ,OTHER,"Mon Jun 03, 8am CDT",Northern New Jersey,NO,NO
25148133,A,691,2002,ACURA,MDX,2HNYD18632H545530,345k mi (Not Required/Exempt),CLEAR - DEALER ONLY-CA,OTHER,"Mon Jun 03, 11am CDT",San Diego,NO,NO
24924067,A,215,2001,ACURA,MDX,2HNYD18891H522382,201k mi (Not Required/Exempt),CLEAR - DEALER ONLY-CA,OTHER,"Mon Jun 03, 11am CDT",San Diego,NO,NO
24751467,A,623,2015,ACURA,RDX,5J8TB3H58FL018635,39k mi ,SALVAGE CERTIFICATE-CA,COLLISION,"Mon Jun 03, 11am CDT",San Diego,NO,NO
24677573,A,648,2007,ACURA,RDX,5J8TB18507A010854,297k mi (Not Required/Exempt),SALVAGE-LA,COLLISION,"Mon Jun 03, 9am CDT",Shreveport,NO,NO
23572406,A,3244,2016,ACURA,RLX,JH4KC1F53GC000929,15k mi ,SALVAGE-PA,COLLISION,"Mon Jun 03, 8am CDT",Northern New Jersey,NO,NO
25170175,A,3033,2006,ACURA,RSX,JH4DC53066S000579,205k mi (Not Required/Exempt),SALVAGE CERTIFICATE-CA,COLLISION,"Mon Jun 03, 11am CDT",San Diego,NO,NO
24917299,B,692,2012,ACURA,TL,19UUA8F50CA018918,114k mi ,SALVAGE TITLE-TX,COLLISION,"Mon Jun 03, 9am CDT",San Antonio-South,NO,NO
24477729,A,117,2010,ACURA,TL,19UUA8F56AA007080,125k mi ,SALVAGE CERTIFICATE-CA,COLLISION,"Mon Jun 03, 11am CDT",Fremont,NO,NO
24716218,A,99,2008,ACURA,TL,19UUA66218A016368,111k mi ,SALVAGE-NJ,COLLISION,"Mon Jun 03, 8am CDT",Northern New Jersey,NO,NO
24999222,A,3147,2007,ACURA,TL,19UUA66217A022606,120k mi ,SALVAGE-NJ,COLLISION,"Mon Jun 03, 8am CDT",Northern New Jersey,NO,NO
24910032,A,3295,2005,ACURA,TL,19UUA662X5A078461,0k mi (Not Required/Exempt),SALVAGE TITLE - DEALER-CA,OTHER,"Mon Jun 03, 11am CDT",Fremont,NO,NO
24691299,A,3222,2005,ACURA,TL,19UUA66215A066845,192k mi (Not Required/Exempt),CLEAR - DEALER ONLY-CA,OTHER,"Mon Jun 03, 11am CDT",San Diego,NO,NO
24963014,A,3097,2004,ACURA,TL,19UUA66274A020614,106k mi (Not Required/Exempt),SALVAGE CERTIFICATE-CA,OTHER,"Mon Jun 03, 11am CDT",Fremont,NO,NO
25096394,A,3272,2004,ACURA,TL,19UUA66264A046749,240k mi ,CLEAR-NJ,OTHER,"Mon Jun 03, 8am CDT",Northern New Jersey,NO,NO
24990372,A,3074,2015,ACURA,TLX,19UUB1F3XFA021686,45k mi ,SALVAGE CERTIFICATE-CA,COLLISION,"Mon Jun 03, 11am CDT",Fremont,NO,NO
24885348,A,3054,2012,ACURA,TSX,JH4CU2F42CC006228,111k mi ,SALVAGE CERTIFICATE-CA,COLLISION,"Mon Jun 03, 11am CDT",San Diego,NO,NO
24589896,A,174,2012,ACURA,TSX,JH4CU2F64CC021069,151k mi ,SALVAGE-NJ,COLLISION,"Mon Jun 03, 8am CDT",Northern New Jersey,NO,NO
